country,child_mort,exports,health,income,inflation
Lesotho,99.7,39.4,11.1,2380,4.15
Liberia,89.3,19.1,11.8,700,5.47
Libya,16.6,65.6,3.88,29600,14.2
Lithuania,6.1,65.3,7.04,21100,2.38
"Macedonia, FYR",10.4,39.8,7.09,11400,2.04
Madagascar,62.2,25.0,3.77,1390,8.79
Malawi,90.5,22.8,6.59,1030,12.1
Malaysia,7.9,86.9,4.39,21100,7.27
Maldives,13.2,77.6,6.33,10500,2.88
Mali,137.0,22.8,4.98,1870,4.37
Mauritania,97.4,50.7,4.41,3320,18.9
Mauritius,15.0,51.2,6.0,15900,1.13
Moldova,17.2,39.2,11.7,3910,11.1
Montenegro,6.8,37.0,9.11,14000,1.6
Morocco,33.5,32.2,5.2,6440,0.976
Mozambique,101.0,31.5,5.21,918,7.64
Myanmar,64.4,0.109,1.97,3720,7.04
Namibia,56.0,47.8,6.78,8460,3.56
Nepal,47.0,9.58,5.25,1990,15.1
Netherlands,4.5,72.0,11.9,45500,0.848
New Zealand,6.2,30.3,10.1,32300,3.73
Niger,123.0,22.2,5.16,814,2.55
Oman,11.7,65.7,2.77,45300,15.6
Pakistan,92.1,13.5,2.2,4280,10.9
Panama,19.7,70.0,8.1,15400,2.59
Paraguay,24.1,55.1,5.87,7290,6.1
Peru,20.3,27.8,5.08,9960,5.71
Philippines,31.9,34.8,3.61,5600,4.22
Poland,6.0,40.1,7.46,21800,1.66
Portugal,3.9,29.9,11.0,27200,0.643
Romania,11.5,32.6,5.58,17800,3.53
Russia,10.0,29.2,5.08,23100,14.2
Rwanda,63.6,12.0,10.5,1350,2.61
Samoa,18.9,29.2,6.47,5400,1.72
Saudi Arabia,15.7,49.6,4.29,45400,17.2
Senegal,66.8,24.9,5.66,2180,1.85
Serbia,7.6,32.9,10.4,12700,5.88
Slovak Republic,7.0,76.3,8.79,25200,0.485
Slovenia,3.2,64.3,9.41,28700,-0.987
Solomon Islands,28.1,49.3,8.55,1780,6.81
South Africa,53.7,28.6,8.94,12000,6.35
South Korea,4.1,49.4,6.93,30400,3.16
Spain,3.8,25.5,9.54,32500,0.16
Sri Lanka,11.2,19.6,2.94,8560,22.8
St. Vincent and the Grenadines,20.7,26.9,4.47,9920,4.44
Sudan,76.7,19.7,6.32,3370,19.6
Suriname,24.1,52.5,7.01,14200,7.2
Sweden,3.0,46.2,9.63,42900,0.991
Tajikistan,52.4,14.9,5.98,2110,12.5
Tanzania,71.9,18.7,6.01,2090,9.25
Thailand,14.9,66.5,3.88,13500,4.08
Togo,90.3,40.2,7.65,1210,1.18
Tonga,17.4,12.4,5.07,4980,3.68
Tunisia,17.4,50.5,6.21,10400,3.82
Turkey,19.1,20.4,6.74,18000,7.01
Turkmenistan,62.0,76.3,2.5,9940,2.31
Uganda,81.0,17.1,9.01,1540,10.6
Ukraine,11.7,47.1,7.72,7820,13.4
United Kingdom,5.2,28.2,9.64,36200,1.57
Uruguay,10.6,26.3,8.35,17100,4.91
Uzbekistan,36.3,31.7,5.81,4240,16.5
Vanuatu,29.2,46.6,5.25,2950,2.62
Vietnam,23.3,72.0,6.84,4490,12.1
Yemen,56.3,30.0,5.18,4480,23.6
Zambia,83.1,37.0,5.89,3280,14.0
